;DATE;TIME;TEMPERATURE;RELATIVE-HUMIDITY;DEW-POINT;;>>Logging Name:Ensayo 2
1;06.05.2025;13:44:17;18.9;70.3;13.3;;>>FROM:05-06-2025 13:44:17   TO:05-08-2025 12:44:17
2;06.05.2025;14:44:17;16.2;78.4;12.4;;>>Sample Points:48
3;06.05.2025;15:44:17;14.9;84.6;12.3;;>>Sample Rate:3600 sec.
4;06.05.2025;16:44:17;13.6;86.0;11.3;;>>Temperature Unit:Celsius
5;06.05.2025;17:44:17;12.0;91.3;10.6;;>>Temperature(LowAlarm:0.0-HighAlarm:40.0)   Relative Humidity(LowAlarm:20.0-HighAlarm:100.0)
6;06.05.2025;18:44:17;12.0;92.9;10.8;;
7;06.05.2025;19:44:17;11.9;93.4;10.8;;
8;06.05.2025;20:44:17;10.9;94.7;10.0;;
9;06.05.2025;21:44:17;10.4;95.6;9.7;;
10;06.05.2025;22:44:17;10.3;96.3;9.7;;
11;06.05.2025;23:44:17;10.2;96.6;9.6;;
12;07.05.2025;0:44:17;10.5;97.0;10.0;;
13;07.05.2025;1:44:17;10.5;97.1;10.0;;
14;07.05.2025;2:44:17;10.5;97.3;10.0;;
15;07.05.2025;3:44:17;10.6;97.5;10.2;;
16;07.05.2025;4:44:17;10.7;97.7;10.3;;
17;07.05.2025;5:44:17;11.5;98.0;11.1;;
18;07.05.2025;6:44:17;14.8;82.9;11.9;;
19;07.05.2025;7:44:17;17.7;71.3;12.4;;
20;07.05.2025;8:44:17;22.1;55.6;12.8;;
21;07.05.2025;9:44:17;21.2;56.5;12.2;;
22;07.05.2025;10:44:17;15.0;76.7;10.9;;
23;07.05.2025;11:44:17;16.6;71.4;11.4;;
24;07.05.2025;12:44:17;18.8;69.7;13.1;;
25;07.05.2025;13:44:17;18.0;71.5;12.7;;
26;07.05.2025;14:44:17;16.3;68.9;10.5;;
27;07.05.2025;15:44:17;15.5;73.6;10.8;;
28;07.05.2025;16:44:17;12.5;88.8;10.7;;
29;07.05.2025;17:44:17;9.1;95.2;8.3;;
30;07.05.2025;18:44:17;8.9;97.1;8.4;;
31;07.05.2025;19:44:17;11.3;97.2;10.8;;
32;07.05.2025;20:44:17;10.3;97.1;9.8;;
33;07.05.2025;21:44:17;8.3;97.4;7.9;;
34;07.05.2025;22:44:17;9.7;98.2;9.4;;
35;07.05.2025;23:44:17;10.1;98.0;9.7;;
36;08.05.2025;0:44:17;10.2;97.8;9.8;;
37;08.05.2025;1:44:17;9.1;97.5;8.7;;
38;08.05.2025;2:44:17;10.0;98.4;9.7;;
39;08.05.2025;3:44:17;9.1;97.6;8.7;;
40;08.05.2025;4:44:17;9.0;98.7;8.8;;
41;08.05.2025;5:44:17;12.1;95.4;11.3;;
42;08.05.2025;6:44:17;18.4;70.3;12.8;;
43;08.05.2025;7:44:17;20.7;57.8;12.0;;
44;08.05.2025;8:44:17;24.3;49.6;13.0;;
45;08.05.2025;9:44:17;30.0;35.2;12.9;;
46;08.05.2025;10:44:17;15.8;82.0;12.7;;
47;08.05.2025;11:44:17;23.7;59.7;15.3;;
48;08.05.2025;12:44:17;23.3;60.4;15.2;;
